chemical_name,e_number,category,purpose,risk_level,health_concerns,safe_limit,aliases
Food Additive E1288,INS 1288,Preservative,Food preservation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1288,INS 1288"
Food Additive E1289,INS 1289,Preservative,Food preservation,Low,Generally considered safe in food amounts,ADI 0-89 mg/kg,"E1289,INS 1289"
Food Additive E1290,INS 1290,Preservative,Food preservation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1290,INS 1290"
Food Additive E1291,INS 1291,Preservative,Food preservation,High,May cause health issues in sensitive individuals,ADI 0-91 mg/kg,"E1291,INS 1291"
Food Additive E1292,INS 1292,Preservative,Food preservation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1292,INS 1292"
Food Additive E1293,INS 1293,Preservative,Food preservation,Low,Generally considered safe in food amounts,ADI 0-93 mg/kg,"E1293,INS 1293"
Food Additive E1294,INS 1294,Preservative,Food preservation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1294,INS 1294"
Food Additive E1295,INS 1295,Preservative,Food preservation,High,May cause health issues in sensitive individuals,ADI 0-95 mg/kg,"E1295,INS 1295"
Food Additive E1296,INS 1296,Preservative,Food preservation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1296,INS 1296"
Food Additive E1297,INS 1297,Preservative,Food preservation,Low,Generally considered safe in food amounts,ADI 0-97 mg/kg,"E1297,INS 1297"
Food Additive E1298,INS 1298,Preservative,Food preservation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1298,INS 1298"
Food Additive E1299,INS 1299,Preservative,Food preservation,High,May cause health issues in sensitive individuals,ADI 0-99 mg/kg,"E1299,INS 1299"
Food Additive E1300,INS 1300,Antioxidant,Prevents oxidation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1300,INS 1300"
Food Additive E1301,INS 1301,Antioxidant,Prevents oxidation,Low,Generally considered safe in food amounts,ADI 0-1 mg/kg,"E1301,INS 1301"
Food Additive E1302,INS 1302,Antioxidant,Prevents oxidation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1302,INS 1302"
Food Additive E1303,INS 1303,Antioxidant,Prevents oxidation,High,May cause health issues in sensitive individuals,ADI 0-3 mg/kg,"E1303,INS 1303"
Food Additive E1304,INS 1304,Antioxidant,Prevents oxidation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1304,INS 1304"
Food Additive E1305,INS 1305,Antioxidant,Prevents oxidation,Low,Generally considered safe in food amounts,ADI 0-5 mg/kg,"E1305,INS 1305"
Food Additive E1306,INS 1306,Antioxidant,Prevents oxidation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1306,INS 1306"
Food Additive E1307,INS 1307,Antioxidant,Prevents oxidation,High,May cause health issues in sensitive individuals,ADI 0-7 mg/kg,"E1307,INS 1307"
Food Additive E1308,INS 1308,Antioxidant,Prevents oxidation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1308,INS 1308"
Food Additive E1309,INS 1309,Antioxidant,Prevents oxidation,Low,Generally considered safe in food amounts,ADI 0-9 mg/kg,"E1309,INS 1309"
Food Additive E1310,INS 1310,Antioxidant,Prevents oxidation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1310,INS 1310"
Food Additive E1311,INS 1311,Antioxidant,Prevents oxidation,High,May cause health issues in sensitive individuals,ADI 0-11 mg/kg,"E1311,INS 1311"
Food Additive E1312,INS 1312,Antioxidant,Prevents oxidation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1312,INS 1312"
Food Additive E1313,INS 1313,Antioxidant,Prevents oxidation,Low,Generally considered safe in food amounts,ADI 0-13 mg/kg,"E1313,INS 1313"
Food Additive E1314,INS 1314,Antioxidant,Prevents oxidation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1314,INS 1314"
Food Additive E1315,INS 1315,Antioxidant,Prevents oxidation,High,May cause health issues in sensitive individuals,ADI 0-15 mg/kg,"E1315,INS 1315"
Food Additive E1316,INS 1316,Antioxidant,Prevents oxidation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1316,INS 1316"
Food Additive E1317,INS 1317,Antioxidant,Prevents oxidation,Low,Generally considered safe in food amounts,ADI 0-17 mg/kg,"E1317,INS 1317"
Food Additive E1318,INS 1318,Antioxidant,Prevents oxidation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1318,INS 1318"
Food Additive E1319,INS 1319,Antioxidant,Prevents oxidation,High,May cause health issues in sensitive individuals,ADI 0-19 mg/kg,"E1319,INS 1319"
Food Additive E1320,INS 1320,Antioxidant,Prevents oxidation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1320,INS 1320"
Food Additive E1321,INS 1321,Antioxidant,Prevents oxidation,Low,Generally considered safe in food amounts,ADI 0-21 mg/kg,"E1321,INS 1321"
Food Additive E1322,INS 1322,Antioxidant,Prevents oxidation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1322,INS 1322"
Food Additive E1323,INS 1323,Antioxidant,Prevents oxidation,High,May cause health issues in sensitive individuals,ADI 0-23 mg/kg,"E1323,INS 1323"
Food Additive E1324,INS 1324,Antioxidant,Prevents oxidation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1324,INS 1324"
Food Additive E1325,INS 1325,Antioxidant,Prevents oxidation,Low,Generally considered safe in food amounts,ADI 0-25 mg/kg,"E1325,INS 1325"
Food Additive E1326,INS 1326,Antioxidant,Prevents oxidation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1326,INS 1326"
Food Additive E1327,INS 1327,Antioxidant,Prevents oxidation,High,May cause health issues in sensitive individuals,ADI 0-27 mg/kg,"E1327,INS 1327"
Food Additive E1328,INS 1328,Antioxidant,Prevents oxidation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1328,INS 1328"
Food Additive E1329,INS 1329,Antioxidant,Prevents oxidation,Low,Generally considered safe in food amounts,ADI 0-29 mg/kg,"E1329,INS 1329"
Food Additive E1330,INS 1330,Antioxidant,Prevents oxidation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1330,INS 1330"
Food Additive E1331,INS 1331,Antioxidant,Prevents oxidation,High,May cause health issues in sensitive individuals,ADI 0-31 mg/kg,"E1331,INS 1331"
Food Additive E1332,INS 1332,Antioxidant,Prevents oxidation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1332,INS 1332"
Food Additive E1333,INS 1333,Antioxidant,Prevents oxidation,Low,Generally considered safe in food amounts,ADI 0-33 mg/kg,"E1333,INS 1333"
Food Additive E1334,INS 1334,Antioxidant,Prevents oxidation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1334,INS 1334"
Food Additive E1335,INS 1335,Antioxidant,Prevents oxidation,High,May cause health issues in sensitive individuals,ADI 0-35 mg/kg,"E1335,INS 1335"
Food Additive E1336,INS 1336,Antioxidant,Prevents oxidation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1336,INS 1336"
Food Additive E1337,INS 1337,Antioxidant,Prevents oxidation,Low,Generally considered safe in food amounts,ADI 0-37 mg/kg,"E1337,INS 1337"
Food Additive E1338,INS 1338,Antioxidant,Prevents oxidation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1338,INS 1338"
Food Additive E1339,INS 1339,Antioxidant,Prevents oxidation,High,May cause health issues in sensitive individuals,ADI 0-39 mg/kg,"E1339,INS 1339"
Food Additive E1340,INS 1340,Antioxidant,Prevents oxidation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1340,INS 1340"
Food Additive E1341,INS 1341,Antioxidant,Prevents oxidation,Low,Generally considered safe in food amounts,ADI 0-41 mg/kg,"E1341,INS 1341"
Food Additive E1342,INS 1342,Antioxidant,Prevents oxidation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1342,INS 1342"
Food Additive E1343,INS 1343,Antioxidant,Prevents oxidation,High,May cause health issues in sensitive individuals,ADI 0-43 mg/kg,"E1343,INS 1343"
Food Additive E1344,INS 1344,Antioxidant,Prevents oxidation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1344,INS 1344"
Food Additive E1345,INS 1345,Antioxidant,Prevents oxidation,Low,Generally considered safe in food amounts,ADI 0-45 mg/kg,"E1345,INS 1345"
Food Additive E1346,INS 1346,Antioxidant,Prevents oxidation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1346,INS 1346"
Food Additive E1347,INS 1347,Antioxidant,Prevents oxidation,High,May cause health issues in sensitive individuals,ADI 0-47 mg/kg,"E1347,INS 1347"
Food Additive E1348,INS 1348,Antioxidant,Prevents oxidation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1348,INS 1348"
Food Additive E1349,INS 1349,Antioxidant,Prevents oxidation,Low,Generally considered safe in food amounts,ADI 0-49 mg/kg,"E1349,INS 1349"
Food Additive E1350,INS 1350,Antioxidant,Prevents oxidation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1350,INS 1350"
Food Additive E1351,INS 1351,Antioxidant,Prevents oxidation,High,May cause health issues in sensitive individuals,ADI 0-51 mg/kg,"E1351,INS 1351"
Food Additive E1352,INS 1352,Antioxidant,Prevents oxidation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1352,INS 1352"
Food Additive E1353,INS 1353,Antioxidant,Prevents oxidation,Low,Generally considered safe in food amounts,ADI 0-53 mg/kg,"E1353,INS 1353"
Food Additive E1354,INS 1354,Antioxidant,Prevents oxidation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1354,INS 1354"
Food Additive E1355,INS 1355,Antioxidant,Prevents oxidation,High,May cause health issues in sensitive individuals,ADI 0-55 mg/kg,"E1355,INS 1355"
Food Additive E1356,INS 1356,Antioxidant,Prevents oxidation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1356,INS 1356"
Food Additive E1357,INS 1357,Antioxidant,Prevents oxidation,Low,Generally considered safe in food amounts,ADI 0-57 mg/kg,"E1357,INS 1357"
Food Additive E1358,INS 1358,Antioxidant,Prevents oxidation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1358,INS 1358"
Food Additive E1359,INS 1359,Antioxidant,Prevents oxidation,High,May cause health issues in sensitive individuals,ADI 0-59 mg/kg,"E1359,INS 1359"
Food Additive E1360,INS 1360,Antioxidant,Prevents oxidation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1360,INS 1360"
Food Additive E1361,INS 1361,Antioxidant,Prevents oxidation,Low,Generally considered safe in food amounts,ADI 0-61 mg/kg,"E1361,INS 1361"
Food Additive E1362,INS 1362,Antioxidant,Prevents oxidation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1362,INS 1362"
Food Additive E1363,INS 1363,Antioxidant,Prevents oxidation,High,May cause health issues in sensitive individuals,ADI 0-63 mg/kg,"E1363,INS 1363"
Food Additive E1364,INS 1364,Antioxidant,Prevents oxidation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1364,INS 1364"
Food Additive E1365,INS 1365,Antioxidant,Prevents oxidation,Low,Generally considered safe in food amounts,ADI 0-65 mg/kg,"E1365,INS 1365"
Food Additive E1366,INS 1366,Antioxidant,Prevents oxidation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1366,INS 1366"
Food Additive E1367,INS 1367,Antioxidant,Prevents oxidation,High,May cause health issues in sensitive individuals,ADI 0-67 mg/kg,"E1367,INS 1367"
Food Additive E1368,INS 1368,Antioxidant,Prevents oxidation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1368,INS 1368"
Food Additive E1369,INS 1369,Antioxidant,Prevents oxidation,Low,Generally considered safe in food amounts,ADI 0-69 mg/kg,"E1369,INS 1369"
Food Additive E1370,INS 1370,Antioxidant,Prevents oxidation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1370,INS 1370"
Food Additive E1371,INS 1371,Antioxidant,Prevents oxidation,High,May cause health issues in sensitive individuals,ADI 0-71 mg/kg,"E1371,INS 1371"
Food Additive E1372,INS 1372,Antioxidant,Prevents oxidation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1372,INS 1372"
Food Additive E1373,INS 1373,Antioxidant,Prevents oxidation,Low,Generally considered safe in food amounts,ADI 0-73 mg/kg,"E1373,INS 1373"
Food Additive E1374,INS 1374,Antioxidant,Prevents oxidation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1374,INS 1374"
Food Additive E1375,INS 1375,Antioxidant,Prevents oxidation,High,May cause health issues in sensitive individuals,ADI 0-75 mg/kg,"E1375,INS 1375"
Food Additive E1376,INS 1376,Antioxidant,Prevents oxidation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1376,INS 1376"
Food Additive E1377,INS 1377,Antioxidant,Prevents oxidation,Low,Generally considered safe in food amounts,ADI 0-77 mg/kg,"E1377,INS 1377"
Food Additive E1378,INS 1378,Antioxidant,Prevents oxidation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1378,INS 1378"
Food Additive E1379,INS 1379,Antioxidant,Prevents oxidation,High,May cause health issues in sensitive individuals,ADI 0-79 mg/kg,"E1379,INS 1379"
Food Additive E1380,INS 1380,Antioxidant,Prevents oxidation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1380,INS 1380"
Food Additive E1381,INS 1381,Antioxidant,Prevents oxidation,Low,Generally considered safe in food amounts,ADI 0-81 mg/kg,"E1381,INS 1381"
Food Additive E1382,INS 1382,Antioxidant,Prevents oxidation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1382,INS 1382"
Food Additive E1383,INS 1383,Antioxidant,Prevents oxidation,High,May cause health issues in sensitive individuals,ADI 0-83 mg/kg,"E1383,INS 1383"
Food Additive E1384,INS 1384,Antioxidant,Prevents oxidation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1384,INS 1384"
Food Additive E1385,INS 1385,Antioxidant,Prevents oxidation,Low,Generally considered safe in food amounts,ADI 0-85 mg/kg,"E1385,INS 1385"
Food Additive E1386,INS 1386,Antioxidant,Prevents oxidation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1386,INS 1386"
Food Additive E1387,INS 1387,Antioxidant,Prevents oxidation,High,May cause health issues in sensitive individuals,ADI 0-87 mg/kg,"E1387,INS 1387"
Food Additive E1388,INS 1388,Antioxidant,Prevents oxidation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1388,INS 1388"
Food Additive E1389,INS 1389,Antioxidant,Prevents oxidation,Low,Generally considered safe in food amounts,ADI 0-89 mg/kg,"E1389,INS 1389"
Food Additive E1390,INS 1390,Antioxidant,Prevents oxidation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1390,INS 1390"
Food Additive E1391,INS 1391,Antioxidant,Prevents oxidation,High,May cause health issues in sensitive individuals,ADI 0-91 mg/kg,"E1391,INS 1391"
Food Additive E1392,INS 1392,Antioxidant,Prevents oxidation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1392,INS 1392"
Food Additive E1393,INS 1393,Antioxidant,Prevents oxidation,Low,Generally considered safe in food amounts,ADI 0-93 mg/kg,"E1393,INS 1393"
Food Additive E1394,INS 1394,Antioxidant,Prevents oxidation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1394,INS 1394"
Food Additive E1395,INS 1395,Antioxidant,Prevents oxidation,High,May cause health issues in sensitive individuals,ADI 0-95 mg/kg,"E1395,INS 1395"
Food Additive E1396,INS 1396,Antioxidant,Prevents oxidation,Minimal,Generally considered safe in food amounts,ADI not specified,"E1396,INS 1396"
Food Additive E1397,INS 1397,Antioxidant,Prevents oxidation,Low,Generally considered safe in food amounts,ADI 0-97 mg/kg,"E1397,INS 1397"
Food Additive E1398,INS 1398,Antioxidant,Prevents oxidation,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1398,INS 1398"
Food Additive E1399,INS 1399,Antioxidant,Prevents oxidation,High,May cause health issues in sensitive individuals,ADI 0-99 mg/kg,"E1399,INS 1399"
Food Additive E1406,INS 1406,Emulsifier,Mixes oil and water,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1406,INS 1406"
Food Additive E1407,INS 1407,Emulsifier,Mixes oil and water,High,May cause health issues in sensitive individuals,ADI 0-7 mg/kg,"E1407,INS 1407"
Food Additive E1408,INS 1408,Emulsifier,Mixes oil and water,Minimal,Generally considered safe in food amounts,ADI not specified,"E1408,INS 1408"
Food Additive E1409,INS 1409,Emulsifier,Mixes oil and water,Low,Generally considered safe in food amounts,ADI 0-9 mg/kg,"E1409,INS 1409"
Food Additive E1411,INS 1411,Emulsifier,Mixes oil and water,High,May cause health issues in sensitive individuals,ADI 0-11 mg/kg,"E1411,INS 1411"
Food Additive E1415,INS 1415,Emulsifier,Mixes oil and water,High,May cause health issues in sensitive individuals,ADI 0-15 mg/kg,"E1415,INS 1415"
Food Additive E1416,INS 1416,Emulsifier,Mixes oil and water,Minimal,Generally considered safe in food amounts,ADI not specified,"E1416,INS 1416"
Food Additive E1417,INS 1417,Emulsifier,Mixes oil and water,Low,Generally considered safe in food amounts,ADI 0-17 mg/kg,"E1417,INS 1417"
Food Additive E1418,INS 1418,Emulsifier,Mixes oil and water,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1418,INS 1418"
Food Additive E1419,INS 1419,Emulsifier,Mixes oil and water,High,May cause health issues in sensitive individuals,ADI 0-19 mg/kg,"E1419,INS 1419"
Food Additive E1421,INS 1421,Emulsifier,Mixes oil and water,Low,Generally considered safe in food amounts,ADI 0-21 mg/kg,"E1421,INS 1421"
Food Additive E1422,INS 1422,Emulsifier,Mixes oil and water,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1422,INS 1422"
Food Additive E1423,INS 1423,Emulsifier,Mixes oil and water,High,May cause health issues in sensitive individuals,ADI 0-23 mg/kg,"E1423,INS 1423"
Food Additive E1424,INS 1424,Emulsifier,Mixes oil and water,Minimal,Generally considered safe in food amounts,ADI not specified,"E1424,INS 1424"
Food Additive E1425,INS 1425,Emulsifier,Mixes oil and water,Low,Generally considered safe in food amounts,ADI 0-25 mg/kg,"E1425,INS 1425"
Food Additive E1426,INS 1426,Emulsifier,Mixes oil and water,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1426,INS 1426"
Food Additive E1427,INS 1427,Emulsifier,Mixes oil and water,High,May cause health issues in sensitive individuals,ADI 0-27 mg/kg,"E1427,INS 1427"
Food Additive E1428,INS 1428,Emulsifier,Mixes oil and water,Minimal,Generally considered safe in food amounts,ADI not specified,"E1428,INS 1428"
Food Additive E1429,INS 1429,Emulsifier,Mixes oil and water,Low,Generally considered safe in food amounts,ADI 0-29 mg/kg,"E1429,INS 1429"
Food Additive E1430,INS 1430,Emulsifier,Mixes oil and water,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1430,INS 1430"
Food Additive E1431,INS 1431,Emulsifier,Mixes oil and water,High,May cause health issues in sensitive individuals,ADI 0-31 mg/kg,"E1431,INS 1431"
Food Additive E1432,INS 1432,Emulsifier,Mixes oil and water,Minimal,Generally considered safe in food amounts,ADI not specified,"E1432,INS 1432"
Food Additive E1433,INS 1433,Emulsifier,Mixes oil and water,Low,Generally considered safe in food amounts,ADI 0-33 mg/kg,"E1433,INS 1433"
Food Additive E1434,INS 1434,Emulsifier,Mixes oil and water,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1434,INS 1434"
Food Additive E1435,INS 1435,Emulsifier,Mixes oil and water,High,May cause health issues in sensitive individuals,ADI 0-35 mg/kg,"E1435,INS 1435"
Food Additive E1436,INS 1436,Emulsifier,Mixes oil and water,Minimal,Generally considered safe in food amounts,ADI not specified,"E1436,INS 1436"
Food Additive E1437,INS 1437,Emulsifier,Mixes oil and water,Low,Generally considered safe in food amounts,ADI 0-37 mg/kg,"E1437,INS 1437"
Food Additive E1438,INS 1438,Emulsifier,Mixes oil and water,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1438,INS 1438"
Food Additive E1439,INS 1439,Emulsifier,Mixes oil and water,High,May cause health issues in sensitive individuals,ADI 0-39 mg/kg,"E1439,INS 1439"
Food Additive E1441,INS 1441,Emulsifier,Mixes oil and water,Low,Generally considered safe in food amounts,ADI 0-41 mg/kg,"E1441,INS 1441"
Food Additive E1442,INS 1442,Emulsifier,Mixes oil and water,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1442,INS 1442"
Food Additive E1443,INS 1443,Emulsifier,Mixes oil and water,High,May cause health issues in sensitive individuals,ADI 0-43 mg/kg,"E1443,INS 1443"
Food Additive E1444,INS 1444,Emulsifier,Mixes oil and water,Minimal,Generally considered safe in food amounts,ADI not specified,"E1444,INS 1444"
Food Additive E1445,INS 1445,Emulsifier,Mixes oil and water,Low,Generally considered safe in food amounts,ADI 0-45 mg/kg,"E1445,INS 1445"
Food Additive E1446,INS 1446,Emulsifier,Mixes oil and water,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1446,INS 1446"
Food Additive E1447,INS 1447,Emulsifier,Mixes oil and water,High,May cause health issues in sensitive individuals,ADI 0-47 mg/kg,"E1447,INS 1447"
Food Additive E1448,INS 1448,Emulsifier,Mixes oil and water,Minimal,Generally considered safe in food amounts,ADI not specified,"E1448,INS 1448"
Food Additive E1449,INS 1449,Emulsifier,Mixes oil and water,Low,Generally considered safe in food amounts,ADI 0-49 mg/kg,"E1449,INS 1449"
Food Additive E1451,INS 1451,Emulsifier,Mixes oil and water,High,May cause health issues in sensitive individuals,ADI 0-51 mg/kg,"E1451,INS 1451"
Food Additive E1452,INS 1452,Emulsifier,Mixes oil and water,Minimal,Generally considered safe in food amounts,ADI not specified,"E1452,INS 1452"
Food Additive E1453,INS 1453,Emulsifier,Mixes oil and water,Low,Generally considered safe in food amounts,ADI 0-53 mg/kg,"E1453,INS 1453"
Food Additive E1454,INS 1454,Emulsifier,Mixes oil and water,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1454,INS 1454"
Food Additive E1455,INS 1455,Emulsifier,Mixes oil and water,High,May cause health issues in sensitive individuals,ADI 0-55 mg/kg,"E1455,INS 1455"
Food Additive E1456,INS 1456,Emulsifier,Mixes oil and water,Minimal,Generally considered safe in food amounts,ADI not specified,"E1456,INS 1456"
Food Additive E1457,INS 1457,Emulsifier,Mixes oil and water,Low,Generally considered safe in food amounts,ADI 0-57 mg/kg,"E1457,INS 1457"
Food Additive E1458,INS 1458,Emulsifier,Mixes oil and water,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1458,INS 1458"
Food Additive E1459,INS 1459,Emulsifier,Mixes oil and water,High,May cause health issues in sensitive individuals,ADI 0-59 mg/kg,"E1459,INS 1459"
Food Additive E1460,INS 1460,Emulsifier,Mixes oil and water,Minimal,Generally considered safe in food amounts,ADI not specified,"E1460,INS 1460"
Food Additive E1461,INS 1461,Emulsifier,Mixes oil and water,Low,Generally considered safe in food amounts,ADI 0-61 mg/kg,"E1461,INS 1461"
Food Additive E1462,INS 1462,Emulsifier,Mixes oil and water,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1462,INS 1462"
Food Additive E1463,INS 1463,Emulsifier,Mixes oil and water,High,May cause health issues in sensitive individuals,ADI 0-63 mg/kg,"E1463,INS 1463"
Food Additive E1464,INS 1464,Emulsifier,Mixes oil and water,Minimal,Generally considered safe in food amounts,ADI not specified,"E1464,INS 1464"
Food Additive E1465,INS 1465,Emulsifier,Mixes oil and water,Low,Generally considered safe in food amounts,ADI 0-65 mg/kg,"E1465,INS 1465"
Food Additive E1466,INS 1466,Emulsifier,Mixes oil and water,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1466,INS 1466"
Food Additive E1467,INS 1467,Emulsifier,Mixes oil and water,High,May cause health issues in sensitive individuals,ADI 0-67 mg/kg,"E1467,INS 1467"
Food Additive E1468,INS 1468,Emulsifier,Mixes oil and water,Minimal,Generally considered safe in food amounts,ADI not specified,"E1468,INS 1468"
Food Additive E1469,INS 1469,Emulsifier,Mixes oil and water,Low,Generally considered safe in food amounts,ADI 0-69 mg/kg,"E1469,INS 1469"
Food Additive E1470,INS 1470,Emulsifier,Mixes oil and water,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1470,INS 1470"
Food Additive E1471,INS 1471,Emulsifier,Mixes oil and water,High,May cause health issues in sensitive individuals,ADI 0-71 mg/kg,"E1471,INS 1471"
Food Additive E1472,INS 1472,Emulsifier,Mixes oil and water,Minimal,Generally considered safe in food amounts,ADI not specified,"E1472,INS 1472"
Food Additive E1473,INS 1473,Emulsifier,Mixes oil and water,Low,Generally considered safe in food amounts,ADI 0-73 mg/kg,"E1473,INS 1473"
Food Additive E1474,INS 1474,Emulsifier,Mixes oil and water,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1474,INS 1474"
Food Additive E1475,INS 1475,Emulsifier,Mixes oil and water,High,May cause health issues in sensitive individuals,ADI 0-75 mg/kg,"E1475,INS 1475"
Food Additive E1476,INS 1476,Emulsifier,Mixes oil and water,Minimal,Generally considered safe in food amounts,ADI not specified,"E1476,INS 1476"
Food Additive E1477,INS 1477,Emulsifier,Mixes oil and water,Low,Generally considered safe in food amounts,ADI 0-77 mg/kg,"E1477,INS 1477"
Food Additive E1478,INS 1478,Emulsifier,Mixes oil and water,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1478,INS 1478"
Food Additive E1479,INS 1479,Emulsifier,Mixes oil and water,High,May cause health issues in sensitive individuals,ADI 0-79 mg/kg,"E1479,INS 1479"
Food Additive E1480,INS 1480,Emulsifier,Mixes oil and water,Minimal,Generally considered safe in food amounts,ADI not specified,"E1480,INS 1480"
Food Additive E1481,INS 1481,Emulsifier,Mixes oil and water,Low,Generally considered safe in food amounts,ADI 0-81 mg/kg,"E1481,INS 1481"
Food Additive E1482,INS 1482,Emulsifier,Mixes oil and water,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1482,INS 1482"
Food Additive E1483,INS 1483,Emulsifier,Mixes oil and water,High,May cause health issues in sensitive individuals,ADI 0-83 mg/kg,"E1483,INS 1483"
Food Additive E1484,INS 1484,Emulsifier,Mixes oil and water,Minimal,Generally considered safe in food amounts,ADI not specified,"E1484,INS 1484"
Food Additive E1485,INS 1485,Emulsifier,Mixes oil and water,Low,Generally considered safe in food amounts,ADI 0-85 mg/kg,"E1485,INS 1485"
Food Additive E1486,INS 1486,Emulsifier,Mixes oil and water,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1486,INS 1486"
Food Additive E1487,INS 1487,Emulsifier,Mixes oil and water,High,May cause health issues in sensitive individuals,ADI 0-87 mg/kg,"E1487,INS 1487"
Food Additive E1488,INS 1488,Emulsifier,Mixes oil and water,Minimal,Generally considered safe in food amounts,ADI not specified,"E1488,INS 1488"
Food Additive E1489,INS 1489,Emulsifier,Mixes oil and water,Low,Generally considered safe in food amounts,ADI 0-89 mg/kg,"E1489,INS 1489"
Food Additive E1490,INS 1490,Emulsifier,Mixes oil and water,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1490,INS 1490"
Food Additive E1491,INS 1491,Emulsifier,Mixes oil and water,High,May cause health issues in sensitive individuals,ADI 0-91 mg/kg,"E1491,INS 1491"
Food Additive E1492,INS 1492,Emulsifier,Mixes oil and water,Minimal,Generally considered safe in food amounts,ADI not specified,"E1492,INS 1492"
Food Additive E1493,INS 1493,Emulsifier,Mixes oil and water,Low,Generally considered safe in food amounts,ADI 0-93 mg/kg,"E1493,INS 1493"
Food Additive E1494,INS 1494,Emulsifier,Mixes oil and water,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1494,INS 1494"
Food Additive E1495,INS 1495,Emulsifier,Mixes oil and water,High,May cause health issues in sensitive individuals,ADI 0-95 mg/kg,"E1495,INS 1495"
Food Additive E1496,INS 1496,Emulsifier,Mixes oil and water,Minimal,Generally considered safe in food amounts,ADI not specified,"E1496,INS 1496"
